,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
296,301,Assam,Kokrajhar,3924564841.0196633,448699.75580354093,408,45,353,10,2,930404.0,90.13477384621332,26.391612302034346,299.73,70.58,992.36,0.44,214.37,1.1097860000000002,0.0,0.0,6939.953
297,302,Uttar Pradesh,Etawah,2930559816.3104672,373560.1782550947,4306,397,3844,65,1,1340031.0,79.04872108761789,26.745852283709482,306.23,29.91,988.64,0.67,38.65,3.8e-05,0.0,0.0,7313.441
298,303,Uttar Pradesh,Sultanpur,3061952688.7079983,484637.9334803056,3429,301,3071,57,1,3190926.0,82.30666070416895,26.252519612736965,303.77,44.78,995.84,0.82,119.3,0.00613,0.0,0.0,7193.337
299,304,Rajasthan,Pali,15317415844.09089,989284.2022642428,6188,228,5892,68,1,2038533.0,73.55674218308384,25.739610307220328,307.2,19.48,969.11,4.8,266.61,0.0,0.0,0.0,7731.212
300,305,Assam,Kamrup Metropolitan,1234915744.82653,246445.6275218507,44953,30252,14599,102,2,1260419.0,91.9247221484109,26.104520760266393,298.95,67.52,970.05,0.79,280.61,1.429142,0.0,0.0,6658.482
301,306,Uttar Pradesh,Azamgarh,5243196777.111924,566916.898040398,4824,487,4262,75,1,3950808.0,83.04910814249045,26.029785446885327,303.81,46.47,997.51,0.91,107.78,0.011998,0.0,0.0,7193.352
302,307,Madhya Pradesh,Gwalior,5676052566.116476,445864.1208398657,11011,1110,9763,138,0,2032036.0,78.19113360170455,26.090876221968898,308.13,22.46,978.84,1.53,339.23,0.0,0.0,0.0,7132.044
303,308,Uttar Pradesh,Ballia,3711648438.878218,494826.34894406406,6186,495,5608,83,2,2752412.0,84.01827529172752,25.864251950858655,303.35,50.82,999.11,1.5,97.64,0.09299400000000001,0.0,0.0,6930.061
304,309,Bihar,Samastipur,3327007888.4556856,509972.373216649,4324,236,4059,29,2,4261566.0,85.94962040625802,25.795089526886798,302.24,57.21,1001.53,2.66,103.02,0.84147,0.0,0.0,5540.439
305,310,Rajasthan,Bundi,7090132671.376175,549568.8380753901,1275,94,1173,8,2,1113725.0,75.83275013536496,25.510836809432405,307.79,20.69,973.75,3.69,295.19,0.0,0.0,0.0,7312.765
306,311,Bihar,Katihar,3747668228.128681,539345.305757986,5898,288,5599,11,2,3071029.0,87.72460197353844,25.607946354035505,301.6,63.15,1002.92,2.01,115.83,1.973296,0.0,0.0,6197.399
307,312,Rajasthan,Kota,6268232539.257074,720174.3880759992,9385,795,8485,105,0,1950491.0,76.13580469793926,25.13296442629546,307.78,21.03,972.99,3.3,306.52,0.0,0.0,0.0,7291.818
