,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude
135,136,Maharashtra,Washim,5868109475.209134,632834.774172664,4877,700,4081,95,2,1020216.0,77.20241203230586,20.272290299061797
136,137,Maharashtra,Jalna,8716776706.801744,741899.4840381739,8179,1444,6511,224,1,1612357.0,76.05836142730087,19.90021477598096
137,138,Odisha,Nayagarh,4445520218.4542,471128.6597791525,5233,458,4739,36,2,962789,85.05874115140188,20.201547249424042
138,139,Chhattisgarh,Kanker,8198092476.045771,701122.9040413385,2606,714,1876,16,2,651333.0,81.08356188357483,20.107281444709376
139,140,Odisha,Nabarangpur,6178672784.60974,602075.8723537291,4212,559,3644,9,2,1220946.0,82.31396646195174,19.578171805425892
140,141,Odisha,Rayagada,8277772382.5482645,854248.6731238427,7704,206,7459,39,2,967911,83.49800297564758,19.347417519196643
141,142,Chhattisgarh,Narayanpur,4406116940.257336,457517.0810222382,1480,223,1256,1,2,140206.0,81.10178754545521,19.542713943355427
142,143,Maharashtra,Parbhani,6913509062.634924,610305.4864523994,5919,1517,4182,220,1,1527715.0,76.68174374859952,19.238871329702523
143,144,Maharashtra,Beed,11916010933.54125,997856.6292452532,11514,2929,8264,321,1,3116045.0,75.67128881119972,18.971596753327002
144,145,Maharashtra,Osmanabad,8439278259.339445,839450.9745747484,13557,3016,10139,402,2,1486586.0,75.97707747234138,18.200351640250275
145,146,Maharashtra,Sindhudurg,5540548304.058039,708021.9887612975,4304,1053,3141,110,2,868825.0,73.73761673713392,16.191926314975507
146,147,Chhattisgarh,Bastar,6292335775.790525,571351.5272552399,4085,447,3616,22,2,1302253.0,81.84238620934518,19.09215777747219
147,148,Chhattisgarh,Gariaband,5539607763.940753,557152.7724140525,1729,216,1496,17,2,597653.0,82.29840476663767,20.31603655999076
148,149,Telangana,Mulugu,4771753878.787744,423591.5333304713,1563,1561,2,0,2,294671.0,80.33754294775918,18.293008109557356
149,150,Telangana,Jogulamba Gadwal,2801771861.2856045,290541.06600054185,2685,2659,25,1,1,609990.0,77.80667831223315,16.06698975409851
150,151,Telangana,Kumarambheem Asifabad,5046937510.7162895,499288.52570144966,1027,1025,2,0,1,515812.0,79.44153573161732,19.34565579791683
151,152,Telangana,Nizamabad,4718745405.008156,371937.740250921,6272,6242,30,0,1,1571022.0,78.22674363718407,18.715426411371624
152,153,Telangana,Siddipet,4031454932.274368,387584.4203428496,5458,5457,1,0,2,1012065.0,78.85662280258813,18.034283960720536
153,154,Telangana,Suryapet,3955376278.8738227,365322.8937875207,4809,4785,24,0,0,1099560.0,79.77394756151571,17.146841379975232
154,155,Telangana,Warangal Urban,1444769233.5838115,228086.03571223386,8242,8219,23,0,0,1080858.0,79.50168412832132,18.012949270815493
155,156,Maharashtra,Palghar,5869856430.102553,686896.9204743417,38900,6596,31378,926,0,2990116.0,72.88008336286957,19.798829144716116
156,157,Andhra Pradesh,Kadapa,16460401958.446556,830183.7898092655,46422,3125,42909,388,1,2884524.0,78.67921678158064,14.320176472865148
157,158,Karnataka,Tumakuru,11278737340.004906,1117442.066599646,15922,3225,12420,277,1,2678980.0,77.01030200745805,13.655026791532881
158,159,Andhra Pradesh,Chittoor,15959598523.765781,1325441.6906371894,67362,6610,60065,687,0,4170468.0,78.95658604866624,13.442437548516496
159,160,Karnataka,Mysuru,6643499898.630444,695017.7882667215,40232,7123,32257,852,0,3001127.0,76.55272203745159,12.213129220481537
160,161,Tamil Nadu,Viluppuram,7561319021.440522,920117.7771388072,12311,507,11704,100,1,3458873.0,79.37350844092543,11.988948049237267
161,162,Kerala,Kannur,3108325695.6614857,346881.9521736893,15388,5770,9555,60,0,2525637.0,75.5652037572061,11.952880341035558
162,163,Tamil Nadu,Pudukkottai,4848236278.170932,672917.2589948933,9711,619,8946,146,1,1618345.0,78.8719284759159,10.314609661059684
163,164,Tamil Nadu,Sivaganga,4249565620.5783477,787898.9393820339,5408,201,5085,122,1,1339101.0,78.59250937379522,9.98082639685028
164,165,Rajasthan,Churu,17984352448.773533,1186656.325664402,2061,191,1854,16,1,2041172.0,74.68237765211992,28.36290196846408
165,166,Haryana,Jhajjar,2372167627.7097816,363855.0862612462,2736,237,2471,28,1,956907.0,76.65345750005402,28.609103732330826
166,167,Uttar Pradesh,Bareilly,5352197818.607739,595732.6633885214,10970,1050,9774,146,0,3598701.0,79.42771231537266,28.524045774985787
167,168,Uttar Pradesh,Pilibhit,4890952064.519468,688990.0169170257,3562,143,3350,69,1,1643788.0,79.91597729692484,28.50779357309128
168,169,Delhi,West Delhi,174920314.6372091,87103.57715221729,122,122,0,0,0,2531583.0,77.04527931790817,28.658313616403785
169,170,Delhi,East Delhi,57149646.36206693,34869.90319976855,38,38,0,0,0,1707725.0,77.29320513817127,28.608880796018397
170,171,Delhi,Central Delhi,120270537.18838774,87017.1898657004,184,184,0,0,0,578671.0,77.21614091170923,28.70008390501273
171,172,Uttar Pradesh,Gautam Buddha Nagar,1834020474.7149594,359300.1371106025,14531,1548,12927,56,0,1191263.0,77.56041989927176,28.32793146782733
